# Time [sec]	CtrlParams2.Idq_ref_A.value[1]	CtrlParams2.Idq_in_A.value[1]	CtrlParams2.Vdq_out_V.value[1]	CtrlParams2.VqErrInt	CtrlParams2.SpeedFed_Hz	gEscParams2.InPWMCtrl.CanReciWidthus
------------	------------------------------	-----------------------------	------------------------------	--------------------	-----------------------	------------------------------------
171.579	-450.261	-1.78669	-1.75796	-1.75796	-1.75796	-1.75796
171.594	-1.75796	-1.6293	-1.6293	-1.6293	-1.6293	-1.6293
171.61	-2.28616	-2.28616	-2.28616	0.668993	0.668993	0.668993
171.625	0.668993	-1.5123	-1.74054	0.671804	0.671804	0.671804
171.641	0.671804	0.671804	0.671804	0.660998	-449.126	1300
171.657	-1.88657	-1.88657	-1.88657	-1.88657	-5.6948e+020	-475.886
171.672	-475.886	-2.10552	-1.70234	-1.70234	-1.70234	-1.70234
171.688	-2.34694	-1.89617	-1.89617	-1.89617	-469.237	-469.237
171.704	-1.20242	-2.14978	-1.73792	-1.73792	-480.463	-480.463
171.719	-480.463	-480.463	-1.71112	-1.71112	-1.71112	-1.71112
171.735	-1.71112	-1.64833	-1.64833	-1.64833	-455.882	-455.882
171.75	-455.882	-455.882	-1.74323	-1.74323	-448.256	1300
171.766	1300	-2.29142	-2.29142	-2.29142	-2.29142	1300
171.782	1300	1300	1300	0.667665	0.667665	1300
171.797	1300	1300	1300	1300	1300	1300
171.813	1300	-2.11887	-1.73424	0.678222	0.678222	0.678222
171.829	0.678222	-2.21309	-1.7029	-1.7029	-488.984	1300
171.844	1300	1300	1300	1300	-442.194	-442.194
171.86	-442.194	-1.68918	-1.68918	-1.68918	-475.418	-475.418
171.875	-2.32574	-1.93896	-1.93896	-1.93896	-1.93896	1300
171.891	-2.32966	-2.32966	-2.32966	-2.32966	-487.371	-487.371
171.907	-487.371	-2.05741	-1.73655	-1.73655	-463.282	-463.282
171.922	-463.282	-463.282	-463.282	-463.282	-463.282	1300
171.938	1300	-2.12712	-1.69585	0.671013	-484.553	1300
171.954	-1.66127	-2.08932	-1.75071	-1.75071	-447.792	-447.792
171.969	-447.792	-1.85982	-1.75062	-1.75062	-1.75062	-1.75062
171.985	-1.75062	-1.75062	-1.72537	0.666526	0.666526	1300
172	-1.82741	-1.59777	-1.59777	-1.59777	-1.59777	1300
172.016	-2.21584	-2.11181	-1.6914	0.664255	0.664255	0.664255
172.032	-1.81978	-1.81978	-1.81978	-1.81978	-1.81978	1300
172.047	-1.75033	-1.75033	-1.75033	-1.75033	-1.75033	-1.75033
172.063	0	-2.21715	-1.71336	-1.71336	-1.71336	-1.71336
172.079	8.33333e-005	8.33333e-005	8.33333e-005	0.668335	0.668335	0.668335
172.094	-2.33448	-1.91324	-1.91324	-1.91324	-1.91324	-1.91324
172.11	-1.91324	-1.91324	-1.91324	0.667548	0.667548	0.667548
172.125	0.667548	0.667548	0.667548	0.665016	0.665016	1300
172.141	1300	1300	1300	0.664475	0.664475	0.664475
172.157	-2.41523	-2.41523	-2.41523	-2.41523	-2.41523	-2.41523
172.172	-2.41523	-2.21411	-2.21411	-2.21411	-461.672	-461.672
172.188	-461.672	-461.672	-1.73655	0.672867	0.672867	1300
172.204	-1.55788	-1.55788	-1.55788	-1.55788	-444.727	-444.727
172.219	-444.727	-1.94937	-1.69843	-1.69843	-1.69843	-1.69843
172.235	-1.79301	-1.79301	-1.70444	-1.70444	-1.70444	-1.70444
172.25	-1.70444	-1.56003	-1.56003	0.661818	-452.24	-452.24
172.266	-1.38717	-1.38717	-1.38717	0.665751	0.665751	1300
172.282	1300	-1.66354	-1.66354	0.669287	0.669287	0.669287
172.297	0.669287	0.669287	0.669287	0.678273	-443.014	-443.014
172.313	-443.014	-2.19229	-1.75534	0.67492	0.67492	1300
172.329	1300	1300	-1.6976	-1.6976	-449.436	1300
172.344	1300	1300	1300	1300	1300	1300
172.36	1300	1300	-1.70097	0.674908	-486.175	-486.175
172.375	-486.175	-486.175	-486.175	-486.175	-454.119	1300
172.391	-1.57204	-3.30342e+019	-1.57204	0.670439	-442.065	-442.065
172.407	-442.065	-442.065	-442.065	-442.065	-442.065	1300
172.422	-2.36387	-2.36387	-1.68726	0.663608	0.663608	0.663608
172.438	-1.33772	-2.13795	-2.13795	-2.13795	-2.13795	-2.13795
172.454	-2.13795	-2.13795	-2.13795	-2.13795	-2.13795	1300
172.469	1300	1300	1300	1300	-441.061	1300
172.485	1300	-2.00303	-1.68471	-1.68471	-1.68471	-1.68471
172.5	-1.68471	-1.68471	-1.68471	0.670487	0.670487	0.670487
172.516	-1.37536	-1.37536	-1.73697	-1.73697	-470.311	-470.311
172.532	-470.311	-470.311	-1.7431	0.665705	0.665705	1300
172.547	1300	1300	-1.6901	-1.6901	-1.6901	-1.6901
172.563	-2.4616	-2.4616	-2.4616	-2.4616	-2.4616	-2.4616
172.579	-2.4616	-2.4616	-2.4616	-2.4616	-451.159	-451.159
172.594	-451.159	-1.71308	-1.7286	-1.7286	-1.7286	-1.7286
172.61	-1.7286	-1.7286	-1.7286	-1.7286	-1.7286	-1.7286
172.625	-2.30103	-2.30103	-1.68361	-1.68361	-1.68361	1300
172.641	1300	-2.18687	-2.18687	-2.18687	-2.18687	-2.18687
172.657	-1.50006	-1.75095	-1.75615	-1.75615	-1.75615	-1.75615
172.672	-1.75615	-1.75615	-1.68822	-1.68822	-1.68822	-1.68822
172.688	-1.68822	-1.68822	-1.68822	0.675867	0.675867	0.675867
172.704	-2.14937	-1.96059	-1.96059	-1.96059	-1.96059	1300
172.719	1300	1300	1300	0.672542	-449.106	-449.106
172.735	-449.106	-449.106	-1.75487	-1.75487	-1.75487	1300
172.75	1300	-1.67457	-1.67457	0.671414	-445.947	-445.947
172.766	-445.947	-2.19805	-2.19805	-2.19805	-2.19805	1300
172.782	1300	1300	1300	1300	1300	1300
172.797	1300	1300	1300	1300	1300	1300
172.813	1300	-1.62338	-1.62338	-1.62338	-443.398	1300
172.829	-2.39496	-1.67847	-1.67847	-1.67847	-1.67847	-1.67847
172.844	-1.67847	-1.67847	-1.67847	0.669052	0.669052	0.669052
172.86	-1.89415	-2.31503	-2.31503	-2.31503	-466.429	-466.429
172.875	-466.429	-466.429	-466.429	-466.429	-444.193	-444.193
172.891	-444.193	-444.193	-444.193	-444.193	-481.307	1300
172.907	1300	-2.10882	-2.10882	-2.10882	-454.062	1300
172.922	1300	1300	1300	0.678836	0.678836	0.678836
172.938	-1.66794	-1.66794	-1.66794	-1.66794	-1.66794	1300
172.954	1300	1300	-1.72179	0.674015	-440.873	-440.873
172.969	-440.873	-440.873	-440.873	0.675565	0.675565	0.675565
172.985	0.675565	0.675565	0.675565	0.672061	-445.387	-445.387
173	-445.387	-445.387	-445.387	-445.387	-441.793	-441.793
173.016	-441.793	-441.793	-441.793	0.669907	0.669907	0.669907
173.032	-1.36018	-1.93596	-1.73487	-1.73487	-1.73487	-1.73487
173.047	-2.35972	-1.8615	-1.8615	-1.8615	-1.8615	-1.8615
173.063	-1.35404	-1.35404	-1.35404	-1.35404	-1.35404	-1.35404
173.079	-2.09536	-1.61652	-1.61652	-1.61652	-462.643	1300
173.094	-1.75536	-1.58561	-1.58561	-1.58561	-441.418	1300
173.11	1300	1300	-1.70014	-1.70014	-1.70014	1300
173.125	1300	-2.07826	-2.07826	0.677649	0.677649	0.677649
173.141	-1.86529	-1.86529	-1.86529	-1.86529	-1.86529	1300
