I0,I1,I2
-593919.937500,1.002686,0.000000
-0.041260,0.013672,0.951904
-0.054199,0.084961,0.987305
0.000732,0.068115,0.981445
-0.066162,0.101563,0.991455
-0.023438,0.042236,0.960449
0.022217,0.108887,1.017578
-0.002441,0.187988,1.056396
-0.023193,0.042236,0.962891
-0.081787,-0.023193,0.939209
-0.037598,0.028809,0.990234
-0.028076,0.078857,0.995605
-0.006592,0.069824,0.971191
0.005127,0.072998,0.973389
-0.063477,0.066162,0.979736
-0.078857,0.020264,0.970459
-0.046387,0.061523,1.004395
-0.009766,0.052490,0.955322
-0.061523,0.084229,0.958496
-0.021729,0.061279,0.984619
-0.031982,0.027588,0.957031
-0.067383,0.022461,0.929443
-0.025635,0.020752,0.954590
-0.014648,0.064209,0.978027
-0.033936,0.048096,0.937988
-0.007080,0.102539,1.001221
-0.033447,0.070557,0.982910
-0.039307,0.042969,0.944336
-0.051758,0.083984,0.983643
-0.006104,0.031738,0.977295
-0.053467,0.059082,0.984131
-0.038818,0.090088,0.986572
-0.022949,0.036621,0.947510
-0.048340,0.098633,0.997803
0.011963,0.086182,0.998779
-0.001709,0.128418,1.013428
-0.044189,0.115967,1.010742
-0.061035,0.063232,1.013428
-0.041992,0.062988,1.000732
-0.009033,0.107910,0.994629
-0.046631,0.096924,0.989014
-0.015381,0.073730,0.992188
0.020508,0.144043,1.018799
-0.005371,0.112549,0.989258
-0.035645,0.089600,1.009277
0.007813,0.041992,0.951416
-0.083984,0.154297,1.009521
-0.041504,0.055176,0.982910
-0.000977,0.059082,0.971436
-0.032715,0.098145,0.955811
-0.009277,0.145264,1.027832
-0.030518,0.119873,1.035400
-0.054688,0.087891,1.020020
-0.014893,0.085205,0.992676
0.009521,0.141846,1.010986
-0.009033,0.057373,0.949951
-0.062012,0.058838,0.976807
-0.060059,0.081543,1.008789
-0.053711,0.072510,1.001709
0.041016,0.129150,1.005371
-0.003418,0.180664,0.993408
-0.009277,0.129639,0.979980
-0.083252,0.097412,1.023926
