I0,I1,I2
-0.086426,0.154785,0.941406
-0.080811,0.070557,0.947754
-0.019531,0.166504,1.018799
0.016357,0.183350,1.001465
-0.113281,0.145996,0.951660
-0.041260,0.183594,1.002686
0.027832,0.206787,0.996582
-0.026123,0.169922,1.013184
-0.058594,0.176025,1.000244
-0.011963,0.219727,0.992432
-0.079102,0.153564,0.957031
-0.048584,0.104004,0.972412
-0.010498,0.203613,1.014648
-0.000488,0.209473,0.986328
-0.012451,0.182861,0.990479
0.041260,0.191650,1.034424
-0.061035,0.247559,1.053467
-0.057373,0.150146,0.974121
-0.005371,0.137451,0.945068
-0.031494,0.153564,0.989014
-0.099854,0.127441,0.956543
-0.042480,0.152344,0.983154
-0.032959,0.168945,0.988037
-0.055176,0.116943,0.954590
-0.035156,0.160889,0.994873
-0.001953,0.111084,0.931885
-0.091309,0.098633,0.932129
-0.060791,0.141602,0.996582
-0.016113,0.122070,0.958008
-0.038330,0.165283,1.008301
-0.106445,0.188477,1.008301
-0.028809,0.148193,0.995850
-0.007813,0.175537,1.008545
0.016602,0.178711,1.022705
-0.110107,0.133057,0.950928
-0.032227,0.151123,0.955566
0.032227,0.171387,0.976563
-0.081055,0.173340,1.014404
-0.033447,0.246094,1.067139
0.010010,0.200928,0.993164
-0.060303,0.175537,0.987061
-0.028076,0.193604,0.999512
-0.017090,0.217773,1.011719
-0.043457,0.173584,0.986816
-0.032471,0.180176,0.985596
-0.001709,0.196777,0.985107
-0.078369,0.174072,0.987549
-0.064453,0.190430,1.030029
0.017090,0.146484,0.976318
-0.024170,0.192383,1.001221
-0.065674,0.134521,0.935303
-0.040039,0.130615,0.977295
-0.000488,0.182129,1.036377
-0.014404,0.175293,1.005859
-0.067139,0.160400,1.002197
-0.079834,0.160156,0.985107
-0.042725,0.180420,0.989014
0.001709,0.172852,1.038086
-0.054688,0.139893,1.011963
-0.100586,0.113770,0.931396
0.002441,0.208008,0.996582
0.008789,0.168701,0.976318
-0.070068,0.187256,1.033447
-0.068604,0.189941,0.976318
-0.039063,0.125488,0.901367
-0.030762,0.177979,0.980957
-0.032959,0.122070,0.937744
-0.088379,0.190918,1.012939
-0.035156,0.200684,0.979004
-0.036865,0.148926,0.947266
-0.037109,0.123535,0.952393
-0.068848,0.193848,1.011963
0.034424,0.185547,1.047852
-0.052490,0.180420,1.025635
-0.145996,0.153320,0.989014
0.044434,0.124268,0.985840
0.008301,0.110840,0.988770
-0.096680,0.091064,1.003662
-0.080322,0.170654,1.017334
-0.022705,0.144531,0.961182
-0.072510,0.114990,1.009766
0.000000,0.113281,1.016113
-0.063721,0.166992,0.975342
-0.108398,0.122803,0.965576
-0.000977,0.168213,1.027588
0.021484,0.141602,0.985352
-0.141602,0.158447,0.999512
-0.050293,0.136719,0.952148
0.070801,0.186279,0.998779
-0.033447,0.115479,0.959961
-0.081055,0.099121,0.963623
-0.032227,0.183594,0.974365
0.052734,0.137939,0.959229
-0.080322,0.142090,0.962402
-0.053467,0.162598,0.988525
0.000000,0.122559,0.954346
-0.031494,0.100586,0.944824
-0.055420,0.118652,0.955322
-0.016846,0.168213,0.982666
-0.040527,0.160156,0.971436
-0.110596,0.136719,0.985352
-0.022705,0.163818,0.989502
-0.010010,0.159912,0.982422
-0.117676,0.122314,0.970215
-0.072266,0.071533,0.949463
-0.049805,0.148193,0.995605
-0.013916,0.191406,1.024658
-0.037109,0.130859,0.999268
-0.159912,0.092773,0.972900
-0.028809,0.127686,1.016357
0.031982,0.132324,0.980469
-0.052734,0.094238,0.974609
-0.139893,0.139404,0.980469
0.029053,0.133301,1.006592
-0.080811,0.106689,0.977295
-0.111816,0.137451,0.985596
0.069580,0.194580,1.014893
-0.007568,0.189209,1.037842
-0.128174,0.113037,0.994629
-0.029297,0.176758,0.997559
0.036621,0.204102,0.996338
-0.067139,0.093994,0.947998
-0.073486,0.155273,0.998291
0.042725,0.134766,0.949219
-0.093018,0.089600,0.933105
-0.098633,0.084473,0.946777
-0.006348,0.167480,1.007568
-0.022217,0.141602,0.958252
-0.026123,0.111572,0.952393
-0.043945,0.126221,0.965820
0.015625,0.087646,0.971680
-0.024658,0.179443,1.016846
0.016113,0.136475,0.981201
-0.139648,0.121094,0.950928
-0.017090,0.093750,0.973389
-0.069824,0.154541,1.012451
-0.072510,0.169678,1.012939
-0.041016,0.184082,0.997070
-0.010986,0.156494,0.991211
-0.023438,0.117676,0.991699
-0.020508,0.161133,0.986084
-0.031250,0.193848,1.003906
-0.094482,0.138428,0.983643
-0.073730,0.159912,0.988037
-0.020020,0.193359,1.011719
-0.061523,0.156250,1.010254
-0.040771,0.154541,0.979736
-0.028320,0.140381,0.939209
-0.108887,0.174072,1.031738
-0.012207,0.165039,1.018311
0.021973,0.179688,0.970459
-0.113770,0.155273,0.969482
-0.101074,0.099365,0.972412
0.043213,0.188232,1.037354
0.025391,0.237061,1.045166
-0.113037,0.109863,0.978516
-0.123779,0.091797,0.939941
0.027344,0.158447,0.970947
-0.025391,0.171631,1.011719
-0.058838,0.142578,1.025146
-0.036377,0.130127,0.966309
-0.078857,0.145996,0.971436
-0.052002,0.106934,0.968750
-0.011230,0.113037,0.990234
-0.067871,0.156250,1.002441
-0.089844,0.115723,0.970215
-0.025879,0.178711,1.035156
-0.003906,0.101318,0.980957
-0.055420,0.141357,0.986572
-0.058594,0.150146,0.957031
-0.010742,0.129883,0.972168
-0.080322,0.091797,0.951172
-0.071533,0.069824,0.942139
-0.055420,0.132324,0.966797
-0.002686,0.152832,0.987549
-0.002930,0.170166,0.992920
-0.088135,0.126465,0.985596
-0.071777,0.098633,0.997559
0.030518,0.166260,1.006592
-0.057129,0.191162,0.985352
-0.143555,0.099121,0.960205
-0.027344,0.121094,1.001221
0.037598,0.163818,1.027100
-0.045410,0.097900,0.973633
-0.166260,0.098389,0.951660
-0.060791,0.142334,0.976807
0.039795,0.188232,1.032715
-0.024658,0.077393,0.981689
-0.078613,0.096191,0.970459
-0.068848,0.191162,0.969727
-0.043945,0.102783,0.970215
-0.127930,0.106445,1.025146
0.010498,0.099365,0.981934
-0.089355,0.161621,0.961182
-0.095947,0.111328,0.932129
-0.055908,0.123047,1.010498
0.008789,0.113770,1.001221
-0.019287,0.144775,0.989746
-0.070313,0.127686,0.935059
-0.085205,0.161621,0.993652
0.046875,0.143066,1.022705
-0.003662,0.168213,1.015137
-0.109863,0.120117,0.924805
-0.050781,0.139648,0.940674
0.000488,0.123291,0.948486
-0.002197,0.081787,0.960205
-0.096436,0.126465,0.938232
-0.029297,0.154541,0.980225
-0.015137,0.130127,0.956787
-0.032959,0.130615,0.979492
-0.035400,0.085449,0.963623
-0.075439,0.088623,0.986572
-0.060303,0.131836,0.995605
-0.008301,0.120117,0.962402
-0.045654,0.068115,0.968018
-0.086914,0.124756,0.990967
0.042725,0.194580,1.046143
-0.025146,0.114502,1.002930
-0.106689,0.103271,1.009521
-0.047852,0.211914,1.029541
0.004639,0.151367,0.974121
-0.052246,0.082275,0.978516
-0.092529,0.184326,1.027588
0.009521,0.199707,0.992920
