I0,I1,I2
-0.038818,0.134521,0.984131
-0.099121,0.059570,0.936523
-0.096680,0.105957,0.983154
0.049805,0.011963,0.938232
-0.103516,0.177734,1.020752
-0.014404,0.106689,0.983398
-0.043213,0.105225,0.953857
-0.034424,0.098389,0.987549
-0.062744,0.074463,0.955322
-0.038330,0.097412,0.954346
-0.043457,0.092041,0.913574
-0.050049,0.110596,0.976318
0.014404,0.114746,0.983398
-0.027344,0.151367,0.985840
-0.001465,0.104980,0.938232
-0.021484,0.086182,0.936279
-0.062012,0.149414,0.999512
-0.001709,0.127686,1.011963
0.016113,0.142822,1.003418
-0.039551,0.081299,0.917725
-0.081787,0.094971,0.950439
0.003418,0.114746,0.979492
0.040039,0.135010,1.000000
-0.089600,0.117188,0.994873
-0.100586,0.067139,0.948242
0.004639,0.161133,0.969727
-0.049561,0.143555,0.981689
-0.071533,0.025391,0.979004
-0.035889,0.115479,0.983643
-0.031982,0.167480,0.973633
-0.026367,0.102783,0.959717
-0.106934,0.125977,0.990967
-0.023438,0.115234,1.006104
-0.010498,0.147949,0.993408
-0.010010,0.195801,1.017578
-0.068115,0.123535,0.954834
-0.092041,0.084229,0.953613
-0.003174,0.179688,1.033691
-0.021729,0.141846,0.983398
-0.106934,0.151367,0.950684
-0.050293,0.239258,1.024170
0.042725,0.209229,1.024902
0.019043,0.202148,1.050293
-0.046631,0.153320,0.982178
-0.079590,0.127930,0.920898
-0.073486,0.207031,0.996338
-0.024658,0.174805,1.009277
-0.055420,0.148193,1.024902
-0.029297,0.157959,1.009277
-0.021973,0.182617,0.975586
-0.043945,0.181396,0.996582
-0.058105,0.136963,1.029053
-0.047363,0.122314,1.008057
-0.030518,0.176514,1.004395
-0.100342,0.142822,0.957031
-0.106934,0.108398,0.987793
-0.042480,0.138184,1.017334
-0.062256,0.152588,0.996582
-0.127197,0.151611,0.981201
-0.017090,0.143555,0.960205
-0.048340,0.196533,0.995850
-0.132568,0.169678,1.023193
-0.025635,0.097168,0.957520
-0.017822,0.221924,0.986816
-0.088379,0.207031,0.997803
-0.095947,0.189453,1.014893
-0.025635,0.158203,0.991211
