I0,I1,I2
-0.079102,0.048340,0.970947
0.003174,0.043701,0.998047
-0.004395,0.017334,0.958008
-0.085938,0.104492,0.983643
-0.047363,0.038330,0.955322
0.015625,0.072021,1.010498
0.019775,0.149902,1.019775
-0.054688,0.045410,0.924805
-0.079834,0.081055,0.987549
0.005615,0.123535,0.979492
-0.004150,0.089844,0.981201
-0.012451,0.092773,1.005371
-0.027344,0.114746,0.967773
-0.048340,0.108398,0.960205
-0.061279,0.054932,0.976318
-0.025391,0.122803,1.003662
-0.026855,0.180664,1.019287
-0.017822,0.159912,1.054443
-0.002686,0.079102,1.008545
-0.023926,0.064941,0.975586
-0.110840,0.079102,1.000732
-0.013672,0.088623,1.010254
0.021729,0.158203,1.027100
-0.106689,0.104492,0.998779
-0.039795,0.009033,0.985352
-0.019043,0.120117,1.025391
-0.073486,0.094971,0.973633
-0.112305,0.085449,1.003662
-0.023193,0.077393,1.005371
-0.066895,0.093994,0.997803
-0.034668,0.086182,0.987061
0.010742,0.111084,0.996826
-0.030518,0.087158,0.993164
-0.059814,0.052490,0.974854
-0.017822,0.118408,1.030273
-0.068848,0.127197,0.986816
-0.040527,0.089111,0.972900
0.018799,0.145996,1.027100
-0.029297,0.081787,0.997803
-0.110352,0.112061,0.988281
0.024658,0.099365,0.941162
-0.007080,0.103027,0.968994
-0.071045,0.132080,1.013916
-0.024658,0.137939,1.010986
0.046875,0.127930,0.998047
0.042725,0.083740,0.985107
-0.107666,0.098145,0.972900
-0.083008,0.133301,1.055664
0.034912,0.136475,1.042969
0.009277,0.136719,1.009521
-0.107422,0.091064,0.989746
0.014160,0.091064,1.039307
0.000244,0.133301,1.027832
-0.057861,0.123535,1.030029
-0.008789,0.119629,1.059326
-0.028320,0.114502,1.001709
-0.082764,0.112305,1.004150
-0.066895,0.075439,1.004150
-0.039795,0.166748,1.059570
-0.077881,0.129883,0.977539
-0.105957,0.077393,0.940674
-0.100098,0.088379,0.984131
-0.020508,0.116943,1.012451
-0.057861,0.146973,1.007568
-0.094482,0.100830,0.978760
-0.092041,0.123779,0.985596
-0.006836,0.097168,0.972168
-0.028564,0.143066,1.003662
-0.031494,0.091309,0.970459
-0.060059,0.094727,0.969727
-0.028320,0.061768,0.951416
-0.062988,0.099121,0.989258
-0.065430,0.112305,1.017822
-0.054932,0.090332,0.957520
-0.018311,0.027100,0.912109
-0.039551,0.129883,1.044189
-0.025391,0.146484,1.080811
0.001465,0.074219,0.963135
-0.087402,0.131836,1.006348
-0.163086,0.080811,1.018066
-0.020996,0.117188,1.077637
0.024414,0.180176,1.020752
