I0,I1,I2
-0.047607,0.070557,0.971436
-0.004150,0.145020,0.960693
-0.011963,0.048828,0.955566
-0.025146,0.014893,0.968262
-0.042969,0.141357,0.988770
0.075195,0.086914,0.949951
-0.064453,0.084717,0.980957
-0.055908,0.097168,1.022461
0.018066,0.094238,0.977539
-0.027588,0.061035,0.981934
-0.103027,0.078613,1.004883
0.007324,0.083496,1.041748
-0.033203,0.068115,1.034668
-0.041504,0.041992,0.997314
-0.030273,0.064941,0.993408
-0.000244,0.034180,1.011963
-0.058594,0.052246,1.022705
-0.010742,0.019531,0.989746
-0.069336,0.089844,1.028809
-0.076172,0.071289,1.008789
0.005859,0.076904,1.008789
-0.034180,0.102539,1.020996
-0.066650,-0.002686,0.959717
0.031006,0.058838,0.971680
-0.009521,0.151123,0.998779
-0.049561,0.046631,0.989258
0.001709,0.062012,0.983887
-0.046143,0.080322,0.934326
-0.063965,0.056396,0.943848
0.030762,0.021729,0.946045
-0.019531,0.134521,1.014648
-0.028809,0.062012,0.939453
0.024414,0.124756,1.005127
-0.012939,0.078369,0.975830
-0.013184,0.040039,0.947266
-0.019531,0.019043,0.916992
-0.107666,0.087402,0.988525
-0.047363,0.054688,0.997803
0.040527,0.042236,0.966797
-0.064941,0.098145,0.994385
-0.065430,0.109619,1.037842
0.002930,0.101807,1.040771
-0.018799,0.089355,1.023682
-0.047119,0.072998,0.998291
-0.013184,0.080566,1.015625
-0.033691,0.099121,1.041992
0.008545,0.083008,1.039795
-0.024414,0.104248,1.002686
-0.065186,0.096680,0.999512
-0.003418,0.129395,1.036133
-0.009277,0.109131,1.010742
-0.029785,0.072021,0.968262
-0.045654,0.133789,0.991455
0.009521,0.158447,1.027832
-0.073242,0.136230,0.995361
-0.050781,0.070068,0.972412
0.001953,0.120117,0.971680
0.010498,0.143799,0.994385
-0.081787,0.139404,1.009521
0.029785,0.075439,0.982666
0.009033,0.124756,1.000488
-0.031006,0.111328,0.985840
-0.011230,0.100098,1.001221
0.018555,0.099365,1.009766
-0.055664,0.127197,1.011230
-0.060547,0.090088,0.983643
0.055176,0.058594,0.973145
-0.014648,0.081299,0.989990
-0.082031,0.082031,0.992920
-0.001709,0.143311,1.054199
-0.006592,0.118896,1.011719
-0.032471,0.031738,0.991211
-0.104004,0.057861,0.995850
0.010010,0.146240,1.029785
-0.014648,0.143555,1.028320
-0.078857,0.042236,1.043457
-0.042480,0.115967,1.052490
0.082031,0.176514,1.005859
-0.075684,0.067139,0.975586
-0.106934,0.032959,1.034180
0.057861,0.151367,1.048584
0.030273,0.149414,0.965820
-0.107422,0.098145,1.005859
-0.066406,0.050293,0.979980
0.019775,0.102295,0.999268
-0.043457,0.113770,0.980957
-0.102783,0.044678,0.916504
-0.043945,0.095459,0.992920
0.014893,0.079834,0.993896
-0.083252,0.084229,0.993896
-0.073242,0.051025,0.951660
0.019043,0.090820,0.970459
0.022949,0.090820,1.002441
-0.046387,0.075928,1.012207
-0.095215,0.075195,1.011963
0.030273,0.071533,1.003662
-0.033936,0.056885,0.990479
-0.095215,0.001465,0.973145
-0.020264,0.070801,0.993896
0.002686,0.139160,1.021729
-0.011719,0.032227,0.994141
-0.069824,0.039063,0.998047
-0.030762,0.133545,1.018555
0.002197,0.070068,0.975342
