I0,I1,I2,I3,I4
-0.042713,0.915765,-0.127817,0.033256,0.225640
-0.042713,0.915765,-0.127817,0.006212,0.134177
-0.042713,0.915765,-0.127817,0.011741,-0.079238
-0.042713,0.915765,-0.127817,-0.050513,0.042713
-0.042713,0.915765,-0.127817,0.069053,0.042713
-0.042713,0.915765,-0.127817,-0.023885,0.012225
-0.042713,0.915765,-0.127817,-0.009801,-0.018263
-0.042713,0.915765,-0.127817,-0.023885,0.042713
-0.042713,0.915765,-0.127817,0.047723,0.042713
-0.042713,0.915765,-0.127817,-0.067571,-0.018263
-0.042720,0.915751,-0.127873,0.099290,-0.414597
-0.042720,0.915751,-0.127873,0.047617,-0.506061
-0.042720,0.915751,-0.127873,-0.031364,-0.292646
-0.042720,0.915751,-0.127873,-0.080330,0.317111
-0.042720,0.915751,-0.127873,0.076211,0.530525
-0.042720,0.915751,-0.127873,0.027778,0.774428
-0.042720,0.915751,-0.127873,0.027976,0.926867
-0.042720,0.915751,-0.127873,0.018838,0.103696
-0.042720,0.915751,-0.127873,0.035073,-0.109719
-0.042720,0.915751,-0.127873,-0.038895,-0.688987
-0.042720,0.915751,-0.127873,0.099290,-0.902402
-0.042720,0.915751,-0.127873,0.027778,-1.054841
-0.042720,0.915751,-0.127873,0.070856,-0.902402
-0.042720,0.915751,-0.127873,0.013575,-0.201182
-0.042720,0.915751,-0.127873,-0.059959,0.134184
-0.042720,0.915751,-0.127873,0.035073,0.439062
-0.042720,0.915751,-0.127873,0.077997,0.256135
-0.042720,0.915751,-0.127873,-0.031364,0.042720
-0.042720,0.915751,-0.127873,-0.029486,0.256135
-0.042720,0.915751,-0.127873,-0.014992,0.225647
-0.042690,0.915759,-0.127928,-0.080330,0.042690
-0.042690,0.915759,-0.127928,0.025948,-0.109750
-0.042690,0.915759,-0.127928,-0.031364,-0.109750
-0.042690,0.915759,-0.127928,-0.022024,-0.140237
-0.042690,0.915759,-0.127928,0.090486,0.164641
-0.042690,0.915759,-0.127928,-0.031836,0.012202
-0.042690,0.915759,-0.127928,-0.009801,0.042690
-0.042690,0.915759,-0.127928,0.040377,-0.262189
-0.042690,0.915759,-0.127928,-0.021604,0.042690
-0.042690,0.915759,-0.127928,-0.015388,0.012202
-0.042690,0.915759,-0.127928,-0.000236,0.195129
-0.042690,0.915759,-0.127928,-0.038895,0.286592
-0.042690,0.915759,-0.127928,-0.024322,0.317080
-0.042690,0.915759,-0.127928,-0.125699,0.591470
-0.042690,0.915759,-0.127928,-0.023885,0.195129
-0.042690,0.915759,-0.127928,0.069053,-0.323164
-0.042690,0.915759,-0.127928,-0.017256,-0.597555
-0.042690,0.915759,-0.127928,0.020897,-0.902433
-0.042690,0.915759,-0.127928,0.035073,-0.597555
-0.042690,0.915759,-0.127928,0.011741,-0.597555
-0.042686,0.915777,-0.127983,0.049433,-0.140241
-0.042686,0.915777,-0.127983,-0.031364,0.164637
-0.042686,0.915777,-0.127983,0.042450,0.286589
-0.042686,0.915777,-0.127983,-0.029486,0.408540
-0.042686,0.915777,-0.127983,-0.007940,0.347564
-0.042686,0.915777,-0.127983,0.063753,-0.048777
-0.042686,0.915777,-0.127983,0.013575,0.073174
-0.042686,0.915777,-0.127983,0.004662,-0.170729
-0.042686,0.915777,-0.127983,-0.049963,-0.201217
-0.042686,0.915777,-0.127983,-0.007592,-0.048777
-0.042686,0.915777,-0.127983,0.049433,0.012198
-0.042686,0.915777,-0.127983,-0.029486,0.103662
-0.042686,0.915777,-0.127983,-0.007940,0.012198
-0.042686,0.915777,-0.127983,0.012011,0.256101
-0.042686,0.915777,-0.127983,0.049522,0.103662
-0.042686,0.915777,-0.127983,-0.016853,-0.201217
-0.042686,0.915777,-0.127983,0.033427,-0.079265
-0.042686,0.915777,-0.127983,-0.002394,-0.109753
-0.042686,0.915777,-0.127983,0.013835,0.164637
-0.042686,0.915777,-0.127983,0.099290,0.103662
-0.042659,0.915799,-0.128039,-0.052398,0.103635
-0.042659,0.915799,-0.128039,0.027778,0.103635
