17:49:32.683],17,1,495
17:49:32.694],17,3,495
17:49:32.705],17,4,495
17:49:32.716],17,4,495
17:49:32.727],17,5,495
17:49:32.738],17,6,495
17:49:32.749],17,8,495
17:49:32.760],16,9,495
17:49:32.771],16,10,494
17:49:32.782],15,9,495
17:49:32.793],14,9,495
17:49:32.804],13,8,495
17:49:32.815],12,6,495
17:49:32.826],11,4,495
17:49:32.837],11,3,495
17:49:32.848],11,3,495
17:49:32.859],11,2,495
17:49:32.870],12,1,495
17:49:32.881],13,0,495
17:49:32.892],14,0,495
17:49:32.903],15,-1,495
17:49:32.914],17,-2,494
17:49:32.925],18,-3,494
17:49:32.936],21,-4,495
17:49:32.947],22,-4,495
17:49:32.958],23,-4,494
17:49:32.969],25,-5,494
17:49:32.980],25,-5,494
17:49:32.991],26,-6,495
17:49:33.003],26,-6,495
17:49:33.013],27,-6,495
17:49:33.024],27,-7,494
17:49:33.035],28,-7,494
17:49:33.046],29,-7,493
17:49:33.058],30,-6,493
17:49:33.068],31,-4,493
17:49:33.079],30,-3,493
17:49:33.090],30,-1,492
17:49:33.101],28,0,493
17:49:33.112],28,0,493
17:49:33.124],26,1,493
17:49:33.134],23,3,492
17:49:33.145],20,5,492
17:49:33.157],18,7,492
17:49:33.167],16,9,491
17:49:33.178],14,12,491
17:49:33.189],12,14,491
17:49:33.200],10,17,490
17:49:33.211],9,18,490
17:49:33.222],8,20,490
17:49:33.233],8,22,489
17:49:33.244],8,22,489
17:49:33.255],9,23,489
17:49:33.266],10,24,488
17:49:33.277],11,25,488
17:49:33.288],13,26,488
17:49:33.299],16,26,488
17:49:33.310],19,25,488
17:49:33.321],22,24,487
17:49:33.333],26,24,487
17:49:33.343],29,23,487
17:49:33.354],32,23,487
17:49:33.365],34,22,487
17:49:33.376],34,22,487
17:49:33.387],37,21,486
17:49:33.398],39,20,486
17:49:33.409],41,20,486
17:49:33.420],42,19,486
17:49:33.431],43,19,486
17:49:33.442],44,18,486
17:49:33.453],44,17,485
17:49:33.464],45,16,485
17:49:33.475],45,14,484
17:49:33.486],45,13,484
17:49:33.497],45,11,484
17:49:33.508],45,11,484
17:49:33.519],45,9,484
17:49:33.530],45,7,484
17:49:33.541],44,6,483
17:49:33.552],43,5,483
17:49:33.563],42,4,482
17:49:33.574],40,3,482
17:49:33.585],40,2,481
17:49:33.596],40,1,481
17:49:33.607],40,1,480
17:49:33.618],41,1,479
17:49:33.629],43,0,479
17:49:33.640],43,0,479
17:49:33.651],44,0,478
17:49:33.663],45,0,478
17:49:33.673],45,-1,477
17:49:33.684],45,-1,477
17:49:33.695],44,-1,476
17:49:33.706],43,-1,475
17:49:33.717],42,-1,475
17:49:33.728],40,0,474
17:49:33.739],40,0,474
17:49:33.750],40,0,473
17:49:33.761],39,1,472
17:49:33.772],39,1,472
17:49:33.783],39,1,472
17:49:33.794],39,2,471
17:49:33.805],40,2,470
17:49:33.816],39,3,470
17:49:33.827],39,3,469
17:49:33.839],38,3,469
17:49:33.849],38,4,468
17:49:33.862],37,5,468
17:49:33.871],36,6,468
17:49:33.882],34,7,467
17:49:33.893],33,9,466
17:49:33.904],33,9,466
17:49:33.915],31,11,466
17:49:33.926],29,12,465
17:49:33.937],28,13,465
17:49:33.948],27,14,464
17:49:33.959],26,15,463
17:49:33.970],25,16,463
17:49:33.981],24,16,463
17:49:33.996],23,16,462
17:49:34.003],23,17,462
17:49:34.014],22,16,462
17:49:34.025],21,16,461
17:49:34.036],21,16,461
17:49:34.047],21,15,461
17:49:34.058],20,15,460
17:49:34.069],19,14,459
17:49:34.080],19,14,459
17:49:34.091],17,13,458
17:49:34.102],16,13,458
17:49:34.113],14,13,458
17:49:34.127],13,13,457
17:49:34.135],11,14,457
17:49:34.146],9,14,457
17:49:34.157],8,15,456
17:49:34.168],8,15,456
17:49:34.179],6,17,455
17:49:34.191],5,19,455
17:49:34.201],4,21,455
17:49:34.212],3,23,455
17:49:34.224],2,24,454
17:49:34.234],1,25,454
17:49:34.245],0,26,453
17:49:34.256],1,26,453
17:49:34.267],1,25,453
17:49:34.278],1,24,453
17:49:34.290],1,22,453
17:49:34.300],1,22,453
17:49:34.311],2,21,453
17:49:34.324],2,19,453
17:49:34.337],2,17,452
17:49:34.344],1,16,452
17:49:34.355],1,14,452
17:49:34.366],0,13,452
17:49:34.377],-1,13,452
17:49:34.390],-3,12,452
17:49:34.399],-5,12,452
17:49:34.410],-6,11,452
17:49:34.421],-8,12,452
17:49:34.432],-8,12,452
17:49:34.443],-9,12,452
17:49:34.454],-11,12,452
17:49:34.465],-12,13,452
17:49:34.476],-13,14,452
17:49:34.487],-14,16,452
17:49:34.498],-17,17,451
17:49:34.509],-18,18,451
17:49:34.520],-19,19,451
17:49:34.531],-21,22,451
17:49:34.542],-23,24,451
17:49:34.553],-25,27,451
17:49:34.564],-25,27,451
17:49:34.575],-27,30,450
17:49:34.586],-28,33,450
17:49:34.597],-29,36,450
17:49:34.608],-29,39,449
17:49:34.619],-29,42,449
17:49:34.630],-29,44,448
17:49:34.641],-28,46,448
17:49:34.652],-27,47,448
17:49:34.664],-25,47,448
17:49:34.674],-24,47,448
17:49:34.685],-21,46,448
17:49:34.696],-21,46,448
